"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17296-14349","WR","Jeremy","","Kerley","7.046153728778545","13","4900","SF@ATL","SF","ATL","","","",""
"17296-31871","RB","Charles","","Sims","9.259999847412109","5","4900","TB@DAL","TB","DAL","","","",""
"17296-7831","K","Sebastian","","Janikowski","9.384615384615385","13","4900","OAK@SD","OAK","SD","","","",""
"17296-6870","TE","Vernon","","Davis","6.691666920979817","12","4900","CAR@WAS","WAS","CAR","","","",""
"17296-7900","K","Stephen","","Gostkowski","8.23076923076923","13","4900","NE@DEN","NE","DEN","","","",""
"17296-12525","D","Atlanta","","Falcons","7.3076923076923075","13","4900","SF@ATL","ATL","SF","","","",""
"17296-33578","RB","Jalen","","Richard","6.030769348144531","13","4900","OAK@SD","OAK","SD","","","",""
"17296-54606","WR","John","","Brown","5.672727411443537","11","4900","NO@ARI","ARI","NO","Q","Illness","",""
"17296-33137","WR","Justin","","Hardy","4.040000152587891","10","4900","SF@ATL","ATL","SF","","","",""
"17296-14336","RB","Jacquizz","","Rodgers","7.637499809265137","8","4800","TB@DAL","TB","DAL","","","",""
"17296-22035","WR","Travis","","Benjamin","7.275000254313151","12","4800","OAK@SD","SD","OAK","","","",""
"17296-22113","RB","Alfred","","Morris","2.8384616558368387","13","4800","TB@DAL","DAL","TB","","","",""
"17296-12530","D","Dallas","","Cowboys","5.230769230769231","13","4800","TB@DAL","DAL","TB","","","",""
"17296-48380","K","Wil","","Lutz","8.76923076923077","13","4800","NO@ARI","NO","ARI","","","",""
"17296-28080","WR","Devin","","Funchess","6.099999745686849","12","4800","CAR@WAS","CAR","WAS","","","",""
"17296-6627","WR","Ted","","Ginn Jr.","7.838461655836839","13","4800","CAR@WAS","CAR","WAS","","","",""
"17296-24569","K","Chandler","","Catanzaro","6.615384615384615","13","4800","NO@ARI","ARI","NO","","","",""
"17296-29725","TE","Levine","","Toilolo","3.7599998474121095","10","4700","SF@ATL","ATL","SF","","","",""
"17296-26247","K","Brandon","","McManus","9","13","4700","NE@DEN","DEN","NE","","","",""
"17296-15006","RB","Shaun","","Draughn","5.318181818181818","11","4700","SF@ATL","SF","ATL","","","",""
"17296-12531","D","Denver","","Broncos","10.538461538461538","13","4700","NE@DEN","DEN","NE","","","",""
"17296-12541","D","New England","","Patriots","6.923076923076923","13","4700","NE@DEN","NE","DEN","","","",""
"17296-21952","WR","Michael","","Floyd","7.091666539510091","12","4700","NE@DEN","NE","DEN","","","",""
"17296-31836","WR","Terrance","","Williams","6.666666666666667","12","4600","TB@DAL","DAL","TB","","","",""
"17296-24671","WR","Adam","","Humphries","6.458333333333333","12","4600","TB@DAL","TB","DAL","","","",""
"17296-32429","K","Josh","","Lambo","8.23076923076923","13","4600","OAK@SD","SD","OAK","","","",""
"17296-40126","TE","Austin","","Hooper","4.720000076293945","10","4600","SF@ATL","ATL","SF","","","",""
"17296-12537","D","Oakland","","Raiders","6.076923076923077","13","4600","OAK@SD","OAK","SD","","","",""
"17296-32045","TE","Vance","","McDonald","7.509999847412109","10","4600","SF@ATL","SF","ATL","IR","Shoulder","",""
"17296-24912","K","Dustin","","Hopkins","9.692307692307692","13","4600","CAR@WAS","WAS","CAR","","","",""
"17296-40857","RB","Peyton","","Barber","3.9625000953674316","8","4600","TB@DAL","TB","DAL","","","",""
